Gemcom Software International                                       Feb 06, 2017

Block model reportConstraints used
  a.  INSIDE 3DM NB_-10C_-07P5_01.dtm

  Keep blocks partially in the constraint : False





Volume ,Tonnes ,Au ,Ag ,Aueq 75 ,Dbdensity ,Partial Pct 
555.420,1444.092,3.33,76.31,4.34,2.60,0.97


                                                                             1/1
